plate,state,license_type,summons_number,issue_date,violation_time,violation,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,violation_status,judgment_entry_date
KZF8987,NY,PAS,4965446513,2025-09-19,04:58P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Staten Island,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
HDZ5257,NY,PAS,4049629264,2025-11-19,04:27P,BUS LANE VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Bronx,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
LBV1942,NY,PAS,4939770011,2025-03-11,09:21A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Bronx,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
T65GGM,NJ,PAS,4939770138,2025-03-11,09:24A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
W77LPY,NJ,PAS,4939769951,2025-03-11,09:19A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Brooklyn,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
HHB9168,NY,PAS,4939770084,2025-03-11,09:23A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Bronx,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
CDE9101,NY,PAS,4939770060,2025-03-11,09:23A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
DYX9765,NY,PAS,5701170883,2024-11-12,02:14P,NO STANDING-OFF-STREET LOT,50.0,0.0,0.0,0.0,50.0,0.0,000,Staten Island,TRANSIT AUTHORITY,UNKNOWN,
ACY7962,NY,PAS,4939192234,2025-03-06,11:46A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Brooklyn,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
KKR8137,NY,PAS,4939192090,2025-03-06,11:46A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Staten Island,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
KSE7219,NY,PAS,4939192131,2025-03-06,11:46A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Staten Island,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
LCE7372,NY,PAS,2022743568,2025-04-11,12:09P,NO PARKING-STREET CLEANING,65.0,0.0,0.0,0.0,65.0,0.0,025,Manhattan,DEPARTMENT OF SANITATION,UNKNOWN,
H32LFV,NJ,PAS,2022743866,2025-04-15,09:32A,NO PARKING-STREET CLEANING,65.0,0.0,0.0,0.0,65.0,0.0,033,Manhattan,DEPARTMENT OF SANITATION,UNKNOWN,
KST6208,NY,PAS,2023000737,2025-04-11,01:49A,NO PARKING-STREET CLEANING,65.0,0.0,0.0,0.0,65.0,0.0,108,Queens,DEPARTMENT OF SANITATION,UNKNOWN,
LJF2611,NY,PAS,5701170937,2024-11-12,02:15P,NO STANDING-OFF-STREET LOT,50.0,0.0,0.0,0.0,50.0,0.0,000,Brooklyn,TRANSIT AUTHORITY,UNKNOWN,
XJWA27,NJ,PAS,9196189113,2025-04-24,04:37P,PLTFRM LFTS LWRD POS COMM VEH,45.0,0.0,0.0,0.0,45.0,0.0,024,Manhattan,TRAFFIC,UNKNOWN,
LDK4239,NY,PAS,9196189575,2025-04-25,03:46P,FIRE HYDRANT,115.0,0.0,0.0,0.0,115.0,0.0,019,Manhattan,TRAFFIC,UNKNOWN,
72570MM,NY,COM,9196190644,2025-04-08,02:38P,DOUBLE PARKING,115.0,0.0,0.0,0.0,115.0,0.0,019,Manhattan,TRAFFIC,HEARING HELD-GUILTY,
4LSK32,MA,PAS,4941170489,2025-03-22,11:39A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Bronx,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
KHG6248,NY,PAS,4939770606,2025-03-11,09:37A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Bronx,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
LTP2743,NY,PAS,4939770692,2025-03-11,09:38A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
FWH2205,NY,PAS,4939770450,2025-03-11,09:30A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
KFN7289,NY,PAS,4939770461,2025-03-11,09:31A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
KLW1316,NY,PAS,2023084398,2025-04-11,09:07A,NO PARKING-STREET CLEANING,65.0,0.0,0.0,0.0,65.0,0.0,109,Queens,DEPARTMENT OF SANITATION,UNKNOWN,
TGV5699,VA,PAS,5701171528,2024-11-12,03:05P,NO STANDING-OFF-STREET LOT,50.0,0.0,0.0,0.0,50.0,0.0,000,Brooklyn,TRANSIT AUTHORITY,UNKNOWN,
KPJ1902,NY,PAS,5701171589,2024-11-12,03:13P,NO STANDING-OFF-STREET LOT,50.0,0.0,0.0,0.0,50.0,0.0,000,Brooklyn,TRANSIT AUTHORITY,HEARING HELD-GUILTY,
LSH9550,NY,OMS,5701171462,2024-11-12,02:58P,NO STANDING-OFF-STREET LOT,50.0,0.0,0.0,0.0,50.0,0.0,000,UNKNOWN,TRANSIT AUTHORITY,UNKNOWN,
KDP5751,NY,PAS,4939192532,2025-03-06,11:49A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Staten Island,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
DME4119,NY,PAS,4939192635,2025-03-06,11:49A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
CWW8540,NY,PAS,4939192775,2025-03-06,11:51A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
F93STJ,NJ,PAS,2023092140,2025-04-12,02:07P,FIRE HYDRANT,115.0,0.0,0.0,0.0,115.0,0.0,102,Queens,DEPARTMENT OF SANITATION,UNKNOWN,
JCA9920,NY,PAS,4939192805,2025-03-06,11:51A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
KVG1210,NY,PAS,4941170740,2025-03-22,11:52A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,25.0,0.0,0.0,75.0,0.0,000,Bronx,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
KVU4271,NY,PAS,4049629290,2025-11-18,08:40A,BUS LANE VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
KTX9436,NY,PAS,1498523110,2024-04-18,06:05P,DOUBLE PARKING,115.0,10.0,0.0,0.0,125.0,0.0,067,Brooklyn,POLICE DEPARTMENT,UNKNOWN,
JPW6265,NY,PAS,4965446835,2025-09-19,05:06P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Brooklyn,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
JAL2810,NY,PAS,4966009870,2025-09-24,02:32P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
574846T,NJ,PAS,9043100882,2023-03-27,UNKNOWN,UNKNOWN,59.94399185336049,4.760692464358452,1.0263034623217924,1.8407230142566193,63.7833401221996,0.10692464358452139,,UNKNOWN,UNKNOWN,UNKNOWN,
LMH2308,PA,PAS,9043100900,2023-03-27,UNKNOWN,UNKNOWN,59.94399185336049,4.760692464358452,1.0263034623217924,1.8407230142566193,63.7833401221996,0.10692464358452139,,UNKNOWN,UNKNOWN,UNKNOWN,
KFN7533,NY,PAS,4941170817,2025-03-22,11:55A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Brooklyn,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
RJ1618,NY,SRF,4941170878,2025-03-22,11:57A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
84841NA,NY,COM,4941171070,2025-03-22,12:05P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
T702069C,NY,OMT,5701172004,2024-11-12,04:06P,NO STANDING-OFF-STREET LOT,50.0,0.0,0.0,0.0,50.0,0.0,000,UNKNOWN,TRANSIT AUTHORITY,UNKNOWN,
LKR4865,NY,PAS,5701171899,2024-11-12,03:47P,NO STANDING-OFF-STREET LOT,50.0,0.0,0.0,0.0,50.0,0.0,000,UNKNOWN,TRANSIT AUTHORITY,UNKNOWN,
PYXA78,FL,PAS,4779900797,2022-05-17,09:42A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,25.0,16.23,0.0,91.23,0.0,000,Brooklyn,DEPARTMENT OF TRANSPORTATION,UNKNOWN,2022-08-11
U23NDE,NJ,PAS,4939771015,2025-03-11,09:43A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Brooklyn,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
LTE2501,NY,PAS,4939192957,2025-03-06,11:52A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Brooklyn,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
74895MD,NY,COM,9196190693,2025-04-08,03:24P,EXPIRED MUNI METER,65.0,0.0,0.0,55.09999999999991,0.0,0.0,019,Manhattan,TRAFFIC,HEARING HELD-NOT GUILTY,
KND5283,NY,PAS,8991618546,2021-09-16,01:29P,INSP. STICKER-EXPIRED/MISSING,65.0,60.0,18.129699999999982,0.19,167.3,0.0,084,Brooklyn,TRAFFIC,UNKNOWN,2022-07-28
LXE2535,NY,PAS,4965446847,2025-09-19,05:06P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Bronx,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
LAU5064,NY,PAS,4965446914,2025-09-19,05:08P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Bronx,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
KWR3631,NY,PAS,4966009935,2025-09-24,02:34P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Bronx,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
F70UZE,NJ,PAS,4933805398,2025-01-14,03:40P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,25.0,1.24,0.06,76.18,0.0,000,Bronx,DEPARTMENT OF TRANSPORTATION,UNKNOWN,2025-04-03
KHG2159,NY,PAS,4965446926,2025-09-19,05:08P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Staten Island,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
Y102703C,NY,OMT,4965446963,2025-09-19,05:08P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
62912ML,NY,COM,4966009911,2025-09-24,02:33P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Bronx,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
E87RJH,NJ,PAS,4939771301,2025-03-11,09:51A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Bronx,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
Y14SFM,NJ,PAS,4939193627,2025-03-06,11:59A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
KUP1700,NY,PAS,5701172909,2024-11-12,06:22P,NO STANDING-OFF-STREET LOT,50.0,0.0,0.0,0.0,50.0,0.0,000,UNKNOWN,TRANSIT AUTHORITY,UNKNOWN,
LPJ9820,NY,PAS,5701172739,2024-11-12,05:46P,NO STANDING-OFF-STREET LOT,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,TRANSIT AUTHORITY,UNKNOWN,
LSL8586,NY,PAS,4939771192,2025-03-11,09:47A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
BREWER,NY,SRF,4939771404,2025-03-11,09:53A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Brooklyn,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
HRE4462,NY,PAS,4939193470,2025-03-06,11:57A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
LBF8614,NY,PAS,4939193561,2025-03-06,11:58A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Brooklyn,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
U23NDE,NJ,PAS,4939771179,2025-03-11,09:47A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Brooklyn,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
G0N1ES,VA,PAS,2023101207,2025-04-15,09:56A,NO PARKING-STREET CLEANING,65.0,0.0,0.0,0.0,65.0,0.0,114,Queens,DEPARTMENT OF SANITATION,UNKNOWN,
72375ND,NY,COM,4939193664,2025-03-06,11:59A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
Y14SFM,NJ,PAS,4939194085,2025-03-06,12:02P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
XKCD76,NJ,PAS,2011876175,2023-05-09,11:12A,NO PARKING-STREET CLEANING,65.0,60.0,2.83,0.0,127.83,0.0,067,Brooklyn,DEPARTMENT OF SANITATION,HEARING HELD-GUILTY,2025-07-17
JPM6485,NY,PAS,4939771702,2025-03-11,09:59A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,25.0,0.0,0.0,75.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
LFR8546,NY,PAS,4967909358,2025-10-10,02:44A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Bronx,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
62912ML,NY,COM,4966009972,2025-09-24,02:34P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Bronx,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
2AK9613,AL,PAS,9043100912,2023-03-27,UNKNOWN,UNKNOWN,59.94399185336049,4.760692464358452,1.0263034623217924,1.8407230142566193,63.7833401221996,0.10692464358452139,,UNKNOWN,UNKNOWN,UNKNOWN,
S1435863,GA,PAS,9043100936,2023-03-27,UNKNOWN,UNKNOWN,59.94399185336049,4.760692464358452,1.0263034623217924,1.8407230142566193,63.7833401221996,0.10692464358452139,,UNKNOWN,UNKNOWN,UNKNOWN,
JGG8656,NY,PAS,4967912643,2025-10-10,04:22A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Staten Island,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
LPX2239,NY,PAS,4941171548,2025-03-22,12:21P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
KTX9248,NY,PAS,5701173057,2024-11-12,06:45P,NO STANDING-OFF-STREET LOT,50.0,0.0,0.0,0.0,50.0,0.0,000,UNKNOWN,TRANSIT AUTHORITY,UNKNOWN,
LRL1601,NY,PAS,4939193731,2025-03-06,12:00P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,25.0,0.0,0.0,75.0,0.0,000,Bronx,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
E89WBP,NJ,PAS,4967914019,2025-10-10,05:12A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Manhattan,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
LWF9293,PA,PAS,4780132095,2022-05-19,06:06P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,25.0,18.11,0.13,92.98,0.0,000,Bronx,DEPARTMENT OF TRANSPORTATION,UNKNOWN,2022-08-11
HUH4140,NY,PAS,4780550804,2022-05-26,12:06P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,25.0,17.48,0.02,92.46,0.0,000,Brooklyn,DEPARTMENT OF TRANSPORTATION,UNKNOWN,2022-08-18
KRM3310,NY,PAS,4939771880,2025-03-11,10:02A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Brooklyn,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
LBF7911,NY,PAS,4939193913,2025-03-06,12:01P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Manhattan,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
LCK5072,NY,PAS,4939772032,2025-03-11,10:05A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Staten Island,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
JLH5823,NY,PAS,4967916272,2025-10-10,06:13A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
LVA4283,NY,PAS,1499323037,2025-05-20,01:08A,FIRE HYDRANT,115.0,60.0,1.72,0.0,176.72,0.0,047,Bronx,POLICE DEPARTMENT,HEARING HELD-GUILTY,2025-10-30
KNM7188,NY,PAS,4049629318,2025-11-18,11:03A,BUS LANE VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
BDG9772,NY,PAS,4939194334,2025-03-06,12:04P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
HYW4434,NY,PAS,4939772123,2025-03-11,10:06A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
HSP7682,NY,PAS,4965447475,2025-09-19,05:23P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
U91UYN,NJ,PAS,9196191030,2025-04-09,06:11P,EXPIRED MUNI METER,65.0,10.0,0.0,10.0,65.0,0.0,020,Manhattan,TRAFFIC,UNKNOWN,
LJX4830,NY,PAS,9196191065,2025-04-10,12:49P,INSP. STICKER-EXPIRED/MISSING,65.0,0.0,0.0,0.0,65.0,0.0,023,Manhattan,TRAFFIC,UNKNOWN,
C32SYG,NJ,PAS,4965447153,2025-09-19,05:16P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Brooklyn,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
B56PDA,NJ,PAS,2023109267,2025-04-15,09:14A,NO PARKING-STREET CLEANING,65.0,0.0,0.0,0.0,65.0,0.0,009,Manhattan,DEPARTMENT OF SANITATION,UNKNOWN,
HPZ4924,NY,PAS,2023139867,2025-04-11,09:17A,NO PARKING-STREET CLEANING,65.0,0.0,0.0,0.0,65.0,0.0,078,Brooklyn,DEPARTMENT OF SANITATION,UNKNOWN,
B80RYV,NJ,PAS,2023177390,2025-04-15,08:39A,NO PARKING-STREET CLEANING,65.0,0.0,0.0,0.0,65.0,0.0,010,Manhattan,DEPARTMENT OF SANITATION,UNKNOWN,
ETP7032,NY,PAS,4939194188,2025-03-06,12:03P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Brooklyn,DEPARTMENT OF TRANSPORTATION,UNKNOWN,
